# Gaia DR3 passband BP (photon response). Source: SVO Filter Profile Service GAIA/GAIA3.Gbp
# Official curves: Gaia (E)DR3, Riello et al. 2021 (A&A 649 A3). wavelength in Angstrom.
wavelength_A,response_photon
3250.0000,3.87054116e-05
3260.0000,1.75771984e-04
3270.0000,6.49485416e-04
3280.0000,1.96690820e-03
3290.0000,5.01083084e-03
3300.0000,1.09458069e-02
3310.0000,2.07035425e-02
3320.0000,3.46967871e-02
3330.0000,5.25319303e-02
3340.0000,7.35388438e-02
3350.0000,9.60352312e-02
3360.0000,1.18775774e-01
3370.0000,1.42278579e-01
3380.0000,1.65557648e-01
3390.0000,1.88569139e-01
3400.0000,2.09777042e-01
3410.0000,2.28816153e-01
3420.0000,2.43876762e-01
3430.0000,2.51683002e-01
3440.0000,2.52028055e-01
3450.0000,2.46237110e-01
3460.0000,2.36607056e-01
3470.0000,2.24177192e-01
3480.0000,2.09227858e-01
3490.0000,1.94530288e-01
3500.0000,1.84648618e-01
3510.0000,1.79305755e-01
3520.0000,1.78271311e-01
3530.0000,1.81390624e-01
3540.0000,1.87815712e-01
3550.0000,1.96988564e-01
3560.0000,2.08368927e-01
3570.0000,2.18816761e-01
3580.0000,2.27393150e-01
3590.0000,2.32695680e-01
3600.0000,2.35262373e-01
3610.0000,2.35236779e-01
3620.0000,2.32622220e-01
3630.0000,2.30119196e-01
3640.0000,2.26963302e-01
3650.0000,2.23965129e-01
3660.0000,2.20851952e-01
3670.0000,2.17141260e-01
3680.0000,2.13344154e-01
3690.0000,2.09205477e-01
3700.0000,2.04351616e-01
3710.0000,1.99662718e-01
3720.0000,1.94047545e-01
3730.0000,1.88483494e-01
3740.0000,1.83208476e-01
3750.0000,1.78318209e-01
3760.0000,1.73890313e-01
3770.0000,1.69635287e-01
3780.0000,1.65792693e-01
3790.0000,1.63149992e-01
3800.0000,1.62143918e-01
3810.0000,1.62970621e-01
3820.0000,1.65710956e-01
3830.0000,1.69961239e-01
3840.0000,1.76098800e-01
3850.0000,1.84059158e-01
3860.0000,1.94238295e-01
3870.0000,2.06356006e-01
3880.0000,2.20657102e-01
3890.0000,2.37116719e-01
3900.0000,2.54352193e-01
3910.0000,2.72190884e-01
3920.0000,2.90902882e-01
3930.0000,3.09720582e-01
3940.0000,3.28957214e-01
3950.0000,3.47617390e-01
3960.0000,3.66115424e-01
3970.0000,3.83814919e-01
3980.0000,4.00577473e-01
3990.0000,4.17033309e-01
4000.0000,4.32175816e-01
4010.0000,4.45724674e-01
4020.0000,4.58577354e-01
4030.0000,4.71165073e-01
4040.0000,4.82197230e-01
4050.0000,4.92469156e-01
4060.0000,5.02413396e-01
4070.0000,5.11097031e-01
4080.0000,5.19143948e-01
4090.0000,5.26682329e-01
4100.0000,5.33465853e-01
4110.0000,5.40222840e-01
4120.0000,5.46430076e-01
4130.0000,5.51528478e-01
4140.0000,5.55995849e-01
4150.0000,5.60569552e-01
4160.0000,5.64778087e-01
4170.0000,5.68622415e-01
4180.0000,5.72312056e-01
4190.0000,5.75414198e-01
4200.0000,5.78302699e-01
4210.0000,5.81114252e-01
4220.0000,5.83509508e-01
4230.0000,5.86304473e-01
4240.0000,5.88367544e-01
4250.0000,5.89904162e-01
4260.0000,5.91869044e-01
4270.0000,5.94047094e-01
4280.0000,5.95856172e-01
4290.0000,5.97358538e-01
4300.0000,5.99022080e-01
4310.0000,6.00480299e-01
4320.0000,6.01947486e-01
4330.0000,6.03784439e-01
4340.0000,6.05619651e-01
4350.0000,6.07578555e-01
4360.0000,6.09316261e-01
4370.0000,6.10383330e-01
4380.0000,6.11873002e-01
4390.0000,6.13471421e-01
4400.0000,6.15301491e-01
4410.0000,6.17051916e-01
4420.0000,6.18770262e-01
4430.0000,6.20491848e-01
4440.0000,6.21830825e-01
4450.0000,6.23213524e-01
4460.0000,6.24124728e-01
4470.0000,6.24677054e-01
4480.0000,6.25700390e-01
4490.0000,6.26754139e-01
4500.0000,6.26992584e-01
4510.0000,6.27045018e-01
4520.0000,6.27776042e-01
4530.0000,6.28024959e-01
4540.0000,6.27830049e-01
4550.0000,6.27863884e-01
4560.0000,6.27768801e-01
4570.0000,6.27250734e-01
4580.0000,6.27002752e-01
4590.0000,6.27126244e-01
4600.0000,6.27028071e-01
4610.0000,6.27038150e-01
4620.0000,6.26988856e-01
4630.0000,6.26807361e-01
4640.0000,6.26966695e-01
4650.0000,6.27574894e-01
4660.0000,6.28031807e-01
4670.0000,6.27969393e-01
4680.0000,6.28034517e-01
4690.0000,6.28815234e-01
4700.0000,6.29195435e-01
4710.0000,6.29405816e-01
4720.0000,6.30436775e-01
4730.0000,6.31227249e-01
4740.0000,6.31647699e-01
4750.0000,6.32206645e-01
4760.0000,6.33048910e-01
4770.0000,6.33972467e-01
4780.0000,6.34496550e-01
4790.0000,6.34587167e-01
4800.0000,6.34636782e-01
4810.0000,6.35558641e-01
4820.0000,6.35486327e-01
4830.0000,6.35059167e-01
4840.0000,6.35031560e-01
4850.0000,6.35341726e-01
4860.0000,6.35598111e-01
4870.0000,6.35800632e-01
4880.0000,6.35649698e-01
4890.0000,6.35449674e-01
4900.0000,6.35285854e-01
4910.0000,6.34943958e-01
4920.0000,6.34267324e-01
4930.0000,6.33881589e-01
4940.0000,6.33817275e-01
4950.0000,6.34064731e-01
4960.0000,6.33754596e-01
4970.0000,6.33352373e-01
4980.0000,6.32940243e-01
4990.0000,6.32048101e-01
5000.0000,6.31462795e-01
5010.0000,6.31300874e-01
5020.0000,6.31736116e-01
5030.0000,6.31278808e-01
5040.0000,6.30828067e-01
5050.0000,6.30788190e-01
5060.0000,6.30627132e-01
5070.0000,6.30860842e-01
5080.0000,6.30519886e-01
5090.0000,6.29858587e-01
5100.0000,6.30124067e-01
5110.0000,6.30443816e-01
5120.0000,6.30188857e-01
5130.0000,6.29517281e-01
5140.0000,6.30127692e-01
5150.0000,6.30179832e-01
5160.0000,6.29884582e-01
5170.0000,6.29782293e-01
5180.0000,6.29491858e-01
5190.0000,6.29598184e-01
5200.0000,6.30007723e-01
5210.0000,6.29904426e-01
5220.0000,6.29312639e-01
5230.0000,6.28529909e-01
5240.0000,6.28005828e-01
5250.0000,6.27664462e-01
5260.0000,6.26993552e-01
5270.0000,6.26274714e-01
5280.0000,6.25418417e-01
5290.0000,6.24374101e-01
5300.0000,6.23347947e-01
5310.0000,6.22999495e-01
5320.0000,6.22592485e-01
5330.0000,6.22259676e-01
