# Gaia DR3 passband G (photon response). Source: SVO Filter Profile Service GAIA/GAIA3.G
# Official curves: Gaia (E)DR3, Riello et al. 2021 (A&A 649 A3). wavelength in Angstrom.
wavelength_A,response_photon
3200.0000,2.37366962e-08
3210.0000,1.57774443e-07
3220.0000,9.08554755e-07
3230.0000,4.78072331e-06
3240.0000,2.39428071e-05
3250.0000,1.03648276e-04
3260.0000,3.72280534e-04
3270.0000,1.09381843e-03
3280.0000,2.65174642e-03
3290.0000,5.45098195e-03
3300.0000,9.76875472e-03
3310.0000,1.56275855e-02
3320.0000,2.27741233e-02
3330.0000,3.07613294e-02
3340.0000,3.93617092e-02
3350.0000,4.81051591e-02
3360.0000,5.65974619e-02
3370.0000,6.48652284e-02
3380.0000,7.25998465e-02
3390.0000,7.99799035e-02
3400.0000,8.68837415e-02
3410.0000,9.34892114e-02
3420.0000,9.95098198e-02
3430.0000,1.04821332e-01
3440.0000,1.09567735e-01
3450.0000,1.13844787e-01
3460.0000,1.17322246e-01
3470.0000,1.20248035e-01
3480.0000,1.22616478e-01
3490.0000,1.24481362e-01
3500.0000,1.25910068e-01
3510.0000,1.26873854e-01
3520.0000,1.27349628e-01
3530.0000,1.27444244e-01
3540.0000,1.27427159e-01
3550.0000,1.26991649e-01
3560.0000,1.26294051e-01
3570.0000,1.25245997e-01
3580.0000,1.24229812e-01
3590.0000,1.22847822e-01
3600.0000,1.21442511e-01
3610.0000,1.20078061e-01
3620.0000,1.18415896e-01
3630.0000,1.17082052e-01
3640.0000,1.15602744e-01
3650.0000,1.14320018e-01
3660.0000,1.13098680e-01
3670.0000,1.11837348e-01
3680.0000,1.10897166e-01
3690.0000,1.10137634e-01
3700.0000,1.09349045e-01
3710.0000,1.08993010e-01
3720.0000,1.08528360e-01
3730.0000,1.08229538e-01
3740.0000,1.08180230e-01
3750.0000,1.08450962e-01
3760.0000,1.09108058e-01
3770.0000,1.09989532e-01
3780.0000,1.11262658e-01
3790.0000,1.13409497e-01
3800.0000,1.16293195e-01
3810.0000,1.20058072e-01
3820.0000,1.25004759e-01
3830.0000,1.30901086e-01
3840.0000,1.38026499e-01
3850.0000,1.46290114e-01
3860.0000,1.55929479e-01
3870.0000,1.66606022e-01
3880.0000,1.78362874e-01
