# Gaia DR3 passband RP (photon response). Source: SVO Filter Profile Service GAIA/GAIA3.Grp
# Official curves: Gaia (E)DR3, Riello et al. 2021 (A&A 649 A3). wavelength in Angstrom.
wavelength_A,response_photon
6100.0000,1.06681221e-04
6110.0000,1.49827932e-04
6120.0000,2.16489151e-04
6130.0000,3.10012201e-04
6140.0000,4.59318092e-04
6150.0000,7.05041053e-04
6160.0000,1.08825407e-03
6170.0000,1.75652781e-03
6180.0000,2.96747712e-03
6190.0000,5.11095889e-03
6200.0000,8.95907309e-03
6210.0000,1.40238253e-02
6220.0000,2.27167792e-02
6230.0000,3.67832816e-02
6240.0000,5.83109622e-02
6250.0000,8.94185931e-02
6260.0000,1.31499658e-01
6270.0000,1.85014033e-01
6280.0000,2.48642041e-01
6290.0000,3.19950920e-01
6300.0000,3.94534800e-01
6310.0000,4.68484363e-01
6320.0000,5.37419486e-01
6330.0000,5.96909124e-01
6340.0000,6.45859720e-01
6350.0000,6.83215133e-01
6360.0000,7.10877473e-01
6370.0000,7.28669791e-01
6380.0000,7.39030155e-01
6390.0000,7.38272843e-01
6400.0000,7.28457428e-01
6410.0000,7.10608685e-01
6420.0000,6.93950034e-01
6430.0000,6.83428150e-01
6440.0000,6.78729881e-01
6450.0000,6.78374219e-01
6460.0000,6.79905727e-01
6470.0000,6.83573277e-01
6480.0000,6.87245867e-01
6490.0000,6.90083917e-01
6500.0000,6.93245723e-01
6510.0000,6.95478292e-01
6520.0000,6.96818673e-01
6530.0000,6.97807956e-01
6540.0000,6.98526266e-01
6550.0000,6.99165256e-01
6560.0000,7.00450943e-01
6570.0000,7.01455167e-01
6580.0000,7.03417228e-01
6590.0000,7.04553404e-01
6600.0000,7.06834498e-01
6610.0000,7.08459145e-01
6620.0000,7.10490359e-01
6630.0000,7.12096413e-01
6640.0000,7.14485907e-01
6650.0000,7.16866105e-01
6660.0000,7.19372726e-01
6670.0000,7.21597813e-01
6680.0000,7.23269224e-01
6690.0000,7.24618450e-01
6700.0000,7.25857931e-01
6710.0000,7.27808356e-01
6720.0000,7.28396987e-01
6730.0000,7.30436609e-01
6740.0000,7.31097733e-01
6750.0000,7.31458167e-01
6760.0000,7.31376313e-01
6770.0000,7.31605856e-01
6780.0000,7.31975219e-01
6790.0000,7.32203384e-01
6800.0000,7.31772921e-01
6810.0000,7.31223211e-01
6820.0000,7.30433309e-01
6830.0000,7.29938411e-01
6840.0000,7.29574681e-01
6850.0000,7.29552955e-01
6860.0000,7.29598601e-01
6870.0000,7.29743428e-01
6880.0000,7.30046635e-01
6890.0000,7.31099972e-01
6900.0000,7.31126236e-01
6910.0000,7.32094919e-01
6920.0000,7.33633497e-01
6930.0000,7.32755648e-01
6940.0000,7.34072009e-01
6950.0000,7.34199660e-01
6960.0000,7.35120995e-01
6970.0000,7.35680531e-01
6980.0000,7.36146244e-01
6990.0000,7.37264830e-01
7000.0000,7.37591134e-01
7010.0000,7.37963906e-01
7020.0000,7.36782421e-01
7030.0000,7.36741666e-01
7040.0000,7.37664493e-01
7050.0000,7.37758714e-01
7060.0000,7.37828131e-01
7070.0000,7.36972311e-01
7080.0000,7.36069497e-01
7090.0000,7.35413271e-01
7100.0000,7.35191330e-01
7110.0000,7.34727665e-01
7120.0000,7.34045209e-01
7130.0000,7.33258731e-01
7140.0000,7.32862703e-01
7150.0000,7.31770487e-01
7160.0000,7.31607430e-01
7170.0000,7.31600651e-01
7180.0000,7.30954884e-01
7190.0000,7.30876832e-01
7200.0000,7.32234825e-01
7210.0000,7.31470511e-01
7220.0000,7.31739731e-01
7230.0000,7.31969867e-01
7240.0000,7.33875536e-01
7250.0000,7.34115229e-01
7260.0000,7.36494572e-01
7270.0000,7.37177848e-01
7280.0000,7.37596109e-01
7290.0000,7.38865259e-01
7300.0000,7.39555760e-01
7310.0000,7.41387257e-01
7320.0000,7.41993465e-01
7330.0000,7.43023835e-01
7340.0000,7.43627066e-01
7350.0000,7.43952261e-01
7360.0000,7.43396509e-01
7370.0000,7.43139363e-01
7380.0000,7.43688353e-01
7390.0000,7.43912916e-01
7400.0000,7.43436809e-01
7410.0000,7.42484692e-01
7420.0000,7.41695682e-01
7430.0000,7.41400514e-01
7440.0000,7.40344246e-01
7450.0000,7.40188180e-01
7460.0000,7.39031261e-01
7470.0000,7.38576716e-01
7480.0000,7.39172501e-01
7490.0000,7.38887455e-01
7500.0000,7.38385747e-01
7510.0000,7.38754785e-01
7520.0000,7.39291051e-01
7530.0000,7.38602134e-01
7540.0000,7.38787481e-01
7550.0000,7.40073712e-01
7560.0000,7.40090085e-01
7570.0000,7.40343842e-01
7580.0000,7.40136266e-01
7590.0000,7.40311577e-01
7600.0000,7.39191603e-01
7610.0000,7.39099803e-01
7620.0000,7.39420194e-01
7630.0000,7.38936831e-01
7640.0000,7.38716800e-01
7650.0000,7.37826166e-01
7660.0000,7.36639044e-01
7670.0000,7.34544013e-01
7680.0000,7.34212987e-01
7690.0000,7.31627838e-01
7700.0000,7.29990507e-01
7710.0000,7.29097892e-01
7720.0000,7.27382044e-01
7730.0000,7.25771532e-01
7740.0000,7.25137891e-01
7750.0000,7.23438736e-01
7760.0000,7.21850197e-01
7770.0000,7.19261348e-01
7780.0000,7.18329759e-01
7790.0000,7.17642151e-01
7800.0000,7.14835253e-01
7810.0000,7.13275435e-01
7820.0000,7.13181348e-01
7830.0000,7.11970462e-01
7840.0000,7.09605551e-01
7850.0000,7.08105796e-01
7860.0000,7.07276904e-01
7870.0000,7.06274165e-01
7880.0000,7.05780241e-01
7890.0000,7.05322576e-01
7900.0000,7.04541773e-01
7910.0000,7.04016212e-01
7920.0000,7.04292896e-01
7930.0000,7.04105005e-01
